Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.680e-03,0.143656,2.025
-9.678e-03,0.144594,2.03906
-9.676e-03,0.145406,2.05156
-9.674e-03,0.14675,2.0625
-9.672e-03,0.147625,2.08203
-9.670e-03,0.14875,2.08594
-9.668e-03,0.149906,2.10078
-9.666e-03,0.150969,2.10859
-9.664e-03,0.151781,2.11719
-9.662e-03,0.152188,2.13125
-9.660e-03,0.153813,2.13906
-9.658e-03,0.154687,2.14922
-9.656e-03,0.155562,2.15937
-9.654e-03,0.156875,2.17578
-9.652e-03,0.157594,2.19375
-9.650e-03,0.159,2.2
-9.648e-03,0.15975,2.21406
-9.646e-03,0.160875,2.22422
-9.644e-03,0.162,2.23438
-9.642e-03,0.162813,2.24922
-9.640e-03,0.164031,2.2625
-9.638e-03,0.164438,2.27891
-9.636e-03,0.166,2.28281
-9.634e-03,0.166125,2.29531
-9.632e-03,0.166969,2.30937
-9.630e-03,0.168969,2.31641
-9.628e-03,0.169625,2.34062
-9.626e-03,0.170844,2.34062
-9.624e-03,0.1715,2.35703
-9.622e-03,0.172625,2.37656
-9.620e-03,0.173531,2.38125
-9.618e-03,0.174531,2.39453
-9.616e-03,0.176,2.40469
-9.614e-03,0.176281,2.41719
-9.612e-03,0.177937,2.42344
-9.610e-03,0.179,2.44219
-9.608e-03,0.179625,2.45156
-9.606e-03,0.180875,2.46016
-9.604e-03,0.181344,2.48203
-9.602e-03,0.182625,2.48281
-9.600e-03,0.182813,2.48828
-9.598e-03,0.183531,2.50078
-9.596e-03,0.18525,2.52266
-9.594e-03,0.186156,2.53672
-9.592e-03,0.187281,2.54531
-9.590e-03,0.187906,2.55156
-9.588e-03,0.189312,2.56016
-9.586e-03,0.189969,2.56953
-9.584e-03,0.190781,2.5875
-9.582e-03,0.191969,2.59453
-9.580e-03,0.192719,2.61484
-9.578e-03,0.193531,2.61875
-9.576e-03,0.194406,2.62656
-9.574e-03,0.195,2.64297
-9.572e-03,0.196375,2.65547
-9.570e-03,0.197531,2.67109
-9.568e-03,0.197406,2.66562
-9.566e-03,0.198625,2.675
-9.564e-03,0.199219,2.69375
-9.562e-03,0.200594,2.70391
-9.560e-03,0.20125,2.72656
-9.558e-03,0.202125,2.73281
-9.556e-03,0.203375,2.74297
-9.554e-03,0.204594,2.75234
-9.552e-03,0.20525,2.76641
-9.550e-03,0.205375,2.77344
-9.548e-03,0.207094,2.78672
-9.546e-03,0.207844,2.79922
-9.544e-03,0.208313,2.81328
-9.542e-03,0.209219,2.82109
-9.540e-03,0.210094,2.83594
-9.538e-03,0.211406,2.84766
-9.536e-03,0.211969,2.86406
-9.534e-03,0.212219,2.8625
-9.532e-03,0.2135,2.86797
-9.530e-03,0.214344,2.89062
-9.528e-03,0.215219,2.89922
-9.526e-03,0.215281,2.91094
-9.524e-03,0.216594,2.92109
-9.522e-03,0.21725,2.92734
-9.520e-03,0.217812,2.93906
-9.518e-03,0.218313,2.94766
-9.516e-03,0.218812,2.95937
-9.514e-03,0.21975,2.97031
-9.512e-03,0.220562,2.98047
-9.510e-03,0.220688,3
-9.508e-03,0.221781,3.00469
-9.506e-03,0.222437,3.02031
-9.504e-03,0.2235,3.025
-9.502e-03,0.223906,3.0375
-9.500e-03,0.22425,3.04453
-9.498e-03,0.225031,3.05312
-9.496e-03,0.225219,3.06328
-9.494e-03,0.226281,3.06797
-9.492e-03,0.226656,3.09141
-9.490e-03,0.227594,3.09609
-9.488e-03,0.228688,3.10156
-9.486e-03,0.228969,3.12187
-9.484e-03,0.230406,3.12656
-9.482e-03,0.23025,3.13828
-9.480e-03,0.231625,3.13828
-9.478e-03,0.232375,3.15078
-9.476e-03,0.232781,3.1625
-9.474e-03,0.233594,3.17734
-9.472e-03,0.234375,3.18984
-9.470e-03,0.234313,3.20312
-9.468e-03,0.234969,3.20547
-9.466e-03,0.235125,3.22031
-9.464e-03,0.235687,3.22422
-9.462e-03,0.236094,3.22578
-9.460e-03,0.237062,3.24375
-9.458e-03,0.238062,3.25859
-9.456e-03,0.238687,3.27422
-9.454e-03,0.23925,3.27812
-9.452e-03,0.239594,3.28516
-9.450e-03,0.240156,3.29297
-9.448e-03,0.240594,3.30312
-9.446e-03,0.241375,3.31328
-9.444e-03,0.241812,3.32891
-9.442e-03,0.242437,3.33359
-9.440e-03,0.243094,3.34609
-9.438e-03,0.24325,3.36016
-9.436e-03,0.244062,3.36641
-9.434e-03,0.244781,3.38047
-9.432e-03,0.244938,3.39062
-9.430e-03,0.246094,3.39687
-9.428e-03,0.246188,3.39687
-9.426e-03,0.246844,3.41094
-9.424e-03,0.2475,3.42344
-9.422e-03,0.247781,3.43516
-9.420e-03,0.248594,3.45391
-9.418e-03,0.248938,3.45703
-9.416e-03,0.24925,3.46953
-9.414e-03,0.250094,3.47344
-9.412e-03,0.24975,3.48359
-9.410e-03,0.250875,3.49453
-9.408e-03,0.251062,3.49453
-9.406e-03,0.251844,3.51406
-9.404e-03,0.252906,3.51406
-9.402e-03,0.252844,3.52656
-9.400e-03,0.253563,3.53516
-9.398e-03,0.25375,3.54062
-9.396e-03,0.254125,3.55703
-9.394e-03,0.254312,3.56719
-9.392e-03,0.254375,3.58125
-9.390e-03,0.254781,3.575
-9.388e-03,0.255344,3.58359
-9.386e-03,0.256188,3.58594
-9.384e-03,0.256188,3.6
-9.382e-03,0.257062,3.62578
-9.380e-03,0.257969,3.62656
-9.378e-03,0.258062,3.63828
-9.376e-03,0.259,3.63984
-9.374e-03,0.258875,3.66016
-9.372e-03,0.259687,3.66641
-9.370e-03,0.260156,3.67422
-9.368e-03,0.260469,3.68047
-9.366e-03,0.261375,3.6875
-9.364e-03,0.261312,3.69687
-9.362e-03,0.262188,3.70078
-9.360e-03,0.262188,3.71172
-9.358e-03,0.262687,3.72812
-9.356e-03,0.263062,3.72969
-9.354e-03,0.263219,3.74375
-9.352e-03,0.263875,3.74375
-9.350e-03,0.263875,3.75156
-9.348e-03,0.264563,3.75391
-9.346e-03,0.265531,3.76562
-9.344e-03,0.265781,3.77891
-9.342e-03,0.26625,3.78203
-9.340e-03,0.266563,3.79609
-9.338e-03,0.266312,3.79297
-9.336e-03,0.266875,3.8125
-9.334e-03,0.266969,3.825
-9.332e-03,0.267937,3.81953
-9.330e-03,0.268031,3.83516
-9.328e-03,0.268344,3.84687
-9.326e-03,0.268781,3.85
-9.324e-03,0.269094,3.86328
-9.322e-03,0.269719,3.87031
-9.320e-03,0.270125,3.87578
-9.318e-03,0.270469,3.88984
-9.316e-03,0.271125,3.89766
-9.314e-03,0.270875,3.90625
-9.312e-03,0.271344,3.91016
-9.310e-03,0.271375,3.91641
-9.308e-03,0.271437,3.91484
-9.306e-03,0.271844,3.92812
-9.304e-03,0.27225,3.92266
-9.302e-03,0.272406,3.94687
-9.300e-03,0.2725,3.95547
-9.298e-03,0.273312,3.96328
-9.296e-03,0.274031,3.97187
-9.294e-03,0.273719,3.98359
-9.292e-03,0.274531,3.99766
-9.290e-03,0.274594,3.99766
-9.288e-03,0.274438,4.00937
-9.286e-03,0.274531,4.01641
-9.284e-03,0.275281,4.02422
-9.282e-03,0.275937,4.03672
-9.280e-03,0.276062,4.05078
-9.278e-03,0.276469,4.05234
-9.276e-03,0.276344,4.0625
-9.274e-03,0.277281,4.05859
-9.272e-03,0.277563,4.075
-9.270e-03,0.277312,4.08516
-9.268e-03,0.277719,4.09062
-9.266e-03,0.278094,4.10312
-9.264e-03,0.278281,4.10547
-9.262e-03,0.278531,4.11094
-9.260e-03,0.2785,4.12109
-9.258e-03,0.278687,4.12344
-9.256e-03,0.27875,4.13437
-9.254e-03,0.28,4.14375
-9.252e-03,0.279875,4.15469
-9.250e-03,0.280531,4.16484
-9.248e-03,0.281188,4.17188
-9.246e-03,0.281031,4.18516
-9.244e-03,0.28175,4.18203
-9.242e-03,0.281687,4.18828
-9.240e-03,0.28175,4.19922
-9.238e-03,0.282031,4.20547
-9.236e-03,0.282156,4.21328
-9.234e-03,0.2825,4.22578
-9.232e-03,0.2825,4.225
-9.230e-03,0.282719,4.24141
-9.228e-03,0.283156,4.24922
-9.226e-03,0.283156,4.26406
-9.224e-03,0.283625,4.26172
-9.222e-03,0.283531,4.26641
-9.220e-03,0.283969,4.28047
-9.218e-03,0.284531,4.27656
-9.216e-03,0.283562,4.28359
-9.214e-03,0.284062,4.28828
-9.212e-03,0.284438,4.29844
-9.210e-03,0.28525,4.31016
-9.208e-03,0.285438,4.31406
-9.206e-03,0.28575,4.34062
-9.204e-03,0.286469,4.34062
-9.202e-03,0.286625,4.34297
-9.200e-03,0.286625,4.35156
-9.198e-03,0.286719,4.36484
-9.196e-03,0.287062,4.36719
-9.194e-03,0.287687,4.37812
-9.192e-03,0.287375,4.38203
-9.190e-03,0.287687,4.39375
-9.188e-03,0.28825,4.4
-9.186e-03,0.288438,4.4
-9.184e-03,0.288937,4.4
-9.182e-03,0.289094,4.41797
-9.180e-03,0.289469,4.42656
-9.178e-03,0.289156,4.43672
-9.176e-03,0.289469,4.44297
-9.174e-03,0.288937,4.45312
-9.172e-03,0.289062,4.45859
-9.170e-03,0.28975,4.45703
-9.168e-03,0.289562,4.47109
-9.166e-03,0.289906,4.47109
-9.164e-03,0.290562,4.48125
-9.162e-03,0.290875,4.48672
-9.160e-03,0.291438,4.49141
-9.158e-03,0.291031,4.50391
-9.156e-03,0.291531,4.51719
-9.154e-03,0.291094,4.52422
-9.152e-03,0.291844,4.52734
-9.150e-03,0.2925,4.53437
-9.148e-03,0.292312,4.5375
-9.146e-03,0.292594,4.53828
-9.144e-03,0.292594,4.55078
-9.142e-03,0.292656,4.55625
-9.140e-03,0.29225,4.55859
-9.138e-03,0.292344,4.575
-9.136e-03,0.292906,4.57266
-9.134e-03,0.292562,4.58125
-9.132e-03,0.293125,4.58516
-9.130e-03,0.293625,4.59297
-9.128e-03,0.293625,4.59687
-9.126e-03,0.294344,4.60312
-9.124e-03,0.293969,4.61484
-9.122e-03,0.294219,4.62344
-9.120e-03,0.2945,4.63203
-9.118e-03,0.294344,4.63906
-9.116e-03,0.294906,4.63906
-9.114e-03,0.2945,4.64922
-9.112e-03,0.294625,4.65781
-9.110e-03,0.294906,4.65547
-9.108e-03,0.295188,4.65547
-9.106e-03,0.2955,4.65391
-9.104e-03,0.29525,4.66016
-9.102e-03,0.295844,4.66797
-9.100e-03,0.296125,4.67031
-9.098e-03,0.296063,4.67422
-9.096e-03,0.296125,4.68594
-9.094e-03,0.295969,4.7
-9.092e-03,0.297125,4.70234
-9.090e-03,0.296875,4.71328
-9.088e-03,0.297219,4.71328
-9.086e-03,0.297531,4.72109
-9.084e-03,0.297031,4.73516
-9.082e-03,0.297375,4.74375
-9.080e-03,0.297281,4.74531
-9.078e-03,0.297531,4.74297
-9.076e-03,0.29775,4.75547
-9.074e-03,0.297625,4.76406
-9.072e-03,0.297844,4.76172
-9.070e-03,0.297625,4.76172
-9.068e-03,0.298344,4.77187
-9.066e-03,0.29825,4.77422
-9.064e-03,0.298281,4.79219
-9.062e-03,0.298344,4.78828
-9.060e-03,0.298,4.81016
-9.058e-03,0.29925,4.80156
-9.056e-03,0.299,4.80391
-9.054e-03,0.2995,4.82031
-9.052e-03,0.300438,4.8125
-9.050e-03,0.299719,4.82812
-9.048e-03,0.300125,4.83047
-9.046e-03,0.299719,4.83281
-9.044e-03,0.299906,4.83672
-9.042e-03,0.300187,4.83906
-9.040e-03,0.299969,4.84297
-9.038e-03,0.300625,4.84844
-9.036e-03,0.300281,4.85859
-9.034e-03,0.301031,4.85703
-9.032e-03,0.300844,4.86953
-9.030e-03,0.300438,4.875
-9.028e-03,0.301344,4.88359
-9.026e-03,0.301281,4.8875
-9.024e-03,0.301438,4.88594
-9.022e-03,0.301281,4.89609
-9.020e-03,0.3015,4.9
-9.018e-03,0.30225,4.91016
-9.016e-03,0.301656,4.91328
-9.014e-03,0.302219,4.91641
-9.012e-03,0.3025,4.91953
-9.010e-03,0.302312,4.93203
-9.008e-03,0.302156,4.93359
-9.006e-03,0.301687,4.93359
