Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.004,
Horizontal Delay,0,
Sample Interval,4e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.9480e-02,-1.50344,1.53875
-1.9476e-02,-1.50344,1.5375
-1.9472e-02,-1.50406,1.53906
-1.9468e-02,-1.50156,1.5375
-1.9464e-02,-1.50219,1.53906
-1.9460e-02,-1.5025,1.54125
-1.9456e-02,-1.50062,1.53969
-1.9452e-02,-1.49938,1.53812
-1.9448e-02,-1.49938,1.54125
-1.9444e-02,-1.5025,1.54062
-1.9440e-02,-1.5,1.54469
-1.9436e-02,-1.5,1.54375
-1.9432e-02,-1.49812,1.54312
-1.9428e-02,-1.5,1.54062
-1.9424e-02,-1.50094,1.54281
-1.9420e-02,-1.5025,1.54375
-1.9416e-02,-1.49687,1.54156
-1.9412e-02,-1.49344,1.54375
-1.9408e-02,-1.4975,1.54469
-1.9404e-02,-1.4975,1.54281
-1.9400e-02,-1.495,1.54281
-1.9396e-02,-1.49437,1.54219
-1.9392e-02,-1.49344,1.54156
-1.9388e-02,-1.49437,1.54281
-1.9384e-02,-1.495,1.53969
-1.9380e-02,-1.49406,1.54281
-1.9376e-02,-1.49187,1.54156
-1.9372e-02,-1.49125,1.54375
-1.9368e-02,-1.49406,1.54
-1.9364e-02,-1.49344,1.54156
-1.9360e-02,-1.49531,1.54
-1.9356e-02,-1.49406,1.54312
-1.9352e-02,-1.49594,1.54406
-1.9348e-02,-1.49594,1.54156
-1.9344e-02,-1.49094,1.54312
-1.9340e-02,-1.49094,1.54062
-1.9336e-02,-1.4925,1.53906
-1.9332e-02,-1.49531,1.54
-1.9328e-02,-1.49656,1.53875
-1.9324e-02,-1.49406,1.53969
-1.9320e-02,-1.49094,1.54125
-1.9316e-02,-1.49125,1.54281
-1.9312e-02,-1.4925,1.54375
