Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.005,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.718e-03,0.000385938,0.0118281
-9.716e-03,0.000403906,0.0121328
-9.714e-03,0.000416406,0.0124531
-9.712e-03,0.000405469,0.0124766
-9.710e-03,0.000426562,0.0126016
-9.708e-03,0.000432813,0.0126406
-9.706e-03,0.000432813,0.0128438
-9.704e-03,0.000428125,0.0127969
-9.702e-03,0.000420313,0.0127188
-9.700e-03,0.000425781,0.0127031
-9.698e-03,0.000432031,0.0126328
-9.696e-03,0.000420313,0.0127422
-9.694e-03,0.000442187,0.0128984
-9.692e-03,0.000457031,0.0130234
-9.690e-03,0.000492969,0.0129453
-9.688e-03,0.000505469,0.0129063
-9.686e-03,0.000539844,0.0130469
-9.684e-03,0.000571094,0.0133125
-9.682e-03,0.000554687,0.0136875
-9.680e-03,0.000558594,0.0139141
-9.678e-03,0.00055,0.0140938
-9.676e-03,0.000575,0.0142266
-9.674e-03,0.000605469,0.0144453
-9.672e-03,0.000599219,0.0147344
-9.670e-03,0.000632031,0.0150156
-9.668e-03,0.000660156,0.0153359
-9.666e-03,0.00065625,0.0156484
-9.664e-03,0.000660156,0.0158047
-9.662e-03,0.000659375,0.01575
-9.660e-03,0.000708594,0.0157891
-9.658e-03,0.000710937,0.0159297
-9.656e-03,0.000713281,0.0160859
-9.654e-03,0.0007375,0.0161719
-9.652e-03,0.000742969,0.0159688
-9.650e-03,0.000769531,0.0158672
-9.648e-03,0.000798438,0.0160938
-9.646e-03,0.000820312,0.0162969
-9.644e-03,0.000814844,0.0165547
-9.642e-03,0.000814063,0.0168438
-9.640e-03,0.000828906,0.017
-9.638e-03,0.000821875,0.0168203
-9.636e-03,0.000846875,0.0169375
-9.634e-03,0.000842188,0.0169844
-9.632e-03,0.000791406,0.0171875
-9.630e-03,0.000784375,0.0174062
-9.628e-03,0.000767969,0.0176797
-9.626e-03,0.000769531,0.0176484
-9.624e-03,0.000778125,0.0176719
-9.622e-03,0.000814063,0.0175938
-9.620e-03,0.000842188,0.0176719
-9.618e-03,0.000889063,0.017875
-9.616e-03,0.000924219,0.0180781
-9.614e-03,0.000946094,0.0186328
-9.612e-03,0.000991406,0.0190312
-9.610e-03,0.00100313,0.0192031
-9.608e-03,0.00101094,0.0192188
-9.606e-03,0.00102344,0.0191406
-9.604e-03,0.00100703,0.0191406
-9.602e-03,0.000995312,0.0191172
-9.600e-03,0.000996875,0.0192031
-9.598e-03,0.000986719,0.0192969
-9.596e-03,0.000974219,0.0191328
-9.594e-03,0.000980469,0.0191953
-9.592e-03,0.00100469,0.0192578
-9.590e-03,0.000990625,0.0193438
-9.588e-03,0.000985156,0.0195234
-9.586e-03,0.00103359,0.0199453
-9.584e-03,0.00105547,0.0201953
-9.582e-03,0.00107187,0.0203906
-9.580e-03,0.00105547,0.0203359
-9.578e-03,0.00105781,0.0204609
-9.576e-03,0.00107031,0.0203594
-9.574e-03,0.00109609,0.0205625
-9.572e-03,0.00113125,0.0207813
-9.570e-03,0.00117734,0.0210703
-9.568e-03,0.00120078,0.0213672
-9.566e-03,0.00118984,0.0215078
-9.564e-03,0.00117422,0.0216328
-9.562e-03,0.00117578,0.0213516
-9.560e-03,0.00117422,0.0212344
-9.558e-03,0.00118984,0.0213672
-9.556e-03,0.00120859,0.021375
-9.554e-03,0.00122656,0.0214766
-9.552e-03,0.00124453,0.0217109
-9.550e-03,0.00124844,0.0219453
-9.548e-03,0.00125313,0.0222813
-9.546e-03,0.00125938,0.02225
-9.544e-03,0.00127109,0.0224219
-9.542e-03,0.00129219,0.0224297
-9.540e-03,0.00129219,0.0226563
-9.538e-03,0.00133438,0.0229531
-9.536e-03,0.00134609,0.0232422
-9.534e-03,0.00137734,0.0236719
-9.532e-03,0.00140078,0.0239922
-9.530e-03,0.00138047,0.0240547
-9.528e-03,0.00140703,0.0241563
-9.526e-03,0.00141406,0.0241484
-9.524e-03,0.00144766,0.0244141
-9.522e-03,0.00143359,0.0245859
-9.520e-03,0.00142813,0.0247656
-9.518e-03,0.00140312,0.0247578
-9.516e-03,0.00142109,0.0246172
-9.514e-03,0.00141563,0.0246172
-9.512e-03,0.00143437,0.0245391
-9.510e-03,0.00142187,0.0246875
-9.508e-03,0.00145781,0.0247422
-9.506e-03,0.00145625,0.0248828
-9.504e-03,0.00148281,0.0248047
-9.502e-03,0.00148047,0.0248047
-9.500e-03,0.00147813,0.0250859
-9.498e-03,0.00150469,0.0251484
-9.496e-03,0.00149687,0.0252891
-9.494e-03,0.00153281,0.0252344
-9.492e-03,0.00155547,0.0252344
-9.490e-03,0.00158047,0.0250859
-9.488e-03,0.00158672,0.0250313
-9.486e-03,0.00156953,0.0250625
-9.484e-03,0.00156797,0.0251484
-9.482e-03,0.00157422,0.0255313
-9.480e-03,0.00156563,0.0259844
-9.478e-03,0.00159688,0.0261875
-9.476e-03,0.00161484,0.0264141
-9.474e-03,0.00163516,0.0261484
-9.472e-03,0.00161641,0.0262031
-9.470e-03,0.00162891,0.0263906
-9.468e-03,0.00164062,0.0267187
-9.466e-03,0.00165469,0.0269766
-9.464e-03,0.00166953,0.0270391
-9.462e-03,0.001675,0.0272578
-9.460e-03,0.001675,0.0275
-9.458e-03,0.00167344,0.0277891
-9.456e-03,0.00166484,0.0279375
-9.454e-03,0.00166797,0.0277891
-9.452e-03,0.00166094,0.0277891
-9.450e-03,0.00168516,0.0277891
-9.448e-03,0.00170391,0.0280156
-9.446e-03,0.00173828,0.0279297
-9.444e-03,0.00176719,0.0279297
-9.442e-03,0.00176875,0.0281328
-9.440e-03,0.00180547,0.0282422
-9.438e-03,0.00182422,0.0284844
-9.436e-03,0.00181406,0.0286484
-9.434e-03,0.00186406,0.0289063
-9.432e-03,0.00187812,0.0290703
-9.430e-03,0.00188828,0.0290469
-9.428e-03,0.00189531,0.0289453
-9.426e-03,0.00190859,0.0289844
-9.424e-03,0.00192187,0.0291094
-9.422e-03,0.00191172,0.0293125
-9.420e-03,0.00193359,0.0297656
-9.418e-03,0.00194375,0.0299844
-9.416e-03,0.00196016,0.0301016
-9.414e-03,0.00197031,0.0300703
-9.412e-03,0.00195938,0.0301875
-9.410e-03,0.00197656,0.0303125
-9.408e-03,0.00198047,0.0306563
-9.406e-03,0.00199453,0.0309219
-9.404e-03,0.002,0.0310625
-9.402e-03,0.00199609,0.0310859
-9.400e-03,0.00201875,0.0309219
-9.398e-03,0.00203047,0.0308125
-9.396e-03,0.00202734,0.0308125
-9.394e-03,0.00204375,0.0307109
-9.392e-03,0.00206406,0.0309844
-9.390e-03,0.00208359,0.0311563
-9.388e-03,0.00209453,0.0313047
-9.386e-03,0.00211797,0.0313828
-9.384e-03,0.00212812,0.0315234
-9.382e-03,0.00214531,0.0316094
-9.380e-03,0.00215234,0.0315234
-9.378e-03,0.00213516,0.0314297
-9.376e-03,0.00215547,0.03175
-9.374e-03,0.00214844,0.0321797
-9.372e-03,0.00212656,0.0323047
-9.370e-03,0.00213203,0.0324766
-9.368e-03,0.0021125,0.0326094
-9.366e-03,0.002125,0.0326797
-9.364e-03,0.00213828,0.0327031
-9.362e-03,0.00216875,0.0326797
-9.360e-03,0.00218516,0.0329922
-9.358e-03,0.00220547,0.0332344
-9.356e-03,0.00223047,0.0332969
-9.354e-03,0.00223828,0.0335391
-9.352e-03,0.00225625,0.0336016
-9.350e-03,0.00226406,0.0336953
-9.348e-03,0.00224844,0.0337266
-9.346e-03,0.00225078,0.0336953
-9.344e-03,0.00231094,0.0338984
-9.342e-03,0.00232969,0.0339062
-9.340e-03,0.00230938,0.0338672
-9.338e-03,0.00231953,0.0340859
-9.336e-03,0.00232969,0.0343125
-9.334e-03,0.00234844,0.0344766
-9.332e-03,0.00236406,0.0346797
-9.330e-03,0.00232578,0.0347344
-9.328e-03,0.00231328,0.0348203
-9.326e-03,0.00230547,0.0349141
-9.324e-03,0.002325,0.0348203
-9.322e-03,0.00234141,0.0345547
-9.320e-03,0.00234531,0.0345078
-9.318e-03,0.00238828,0.0344297
-9.316e-03,0.00240625,0.0345703
-9.314e-03,0.00240703,0.0348359
-9.312e-03,0.00243359,0.0351875
-9.310e-03,0.00240859,0.0353438
-9.308e-03,0.00246406,0.0354453
-9.306e-03,0.00245,0.0354531
-9.304e-03,0.00245156,0.0357734
-9.302e-03,0.00244766,0.0358125
-9.300e-03,0.00244375,0.0357344
-9.298e-03,0.00246016,0.0357969
-9.296e-03,0.00246797,0.0358594
-9.294e-03,0.00247422,0.0360547
-9.292e-03,0.00249375,0.0362422
-9.290e-03,0.00245156,0.0364063
-9.288e-03,0.00246172,0.0364219
-9.286e-03,0.00246172,0.0366484
-9.284e-03,0.00247578,0.0368281
-9.282e-03,0.00249766,0.0369688
-9.280e-03,0.00250391,0.0371719
-9.278e-03,0.00251406,0.0372344
-9.276e-03,0.002525,0.0372188
-9.274e-03,0.00250234,0.0371563
-9.272e-03,0.00248984,0.0371484
-9.270e-03,0.00249766,0.0371719
-9.268e-03,0.00253438,0.0371953
-9.266e-03,0.00254453,0.0373203
-9.264e-03,0.00253906,0.037375
-9.262e-03,0.00255703,0.0374609
-9.260e-03,0.00257109,0.0374141
-9.258e-03,0.00259609,0.0371719
-9.256e-03,0.0025875,0.0373359
-9.254e-03,0.00260391,0.0375547
-9.252e-03,0.00261562,0.0378438
-9.250e-03,0.00260938,0.0380703
-9.248e-03,0.00258516,0.038125
-9.246e-03,0.00260391,0.0379609
-9.244e-03,0.00263828,0.0375625
-9.242e-03,0.00264453,0.0374766
-9.240e-03,0.00265469,0.0376406
-9.238e-03,0.0026625,0.0377813
-9.236e-03,0.00264219,0.0381328
-9.234e-03,0.00265313,0.0383672
-9.232e-03,0.00264687,0.0385781
-9.230e-03,0.00268672,0.0388047
-9.228e-03,0.00269297,0.0390781
-9.226e-03,0.00270313,0.0393672
-9.224e-03,0.00272188,0.0395547
-9.222e-03,0.00274141,0.0395156
-9.220e-03,0.00275,0.0394844
-9.218e-03,0.00275156,0.0395156
-9.216e-03,0.00274219,0.0393906
-9.214e-03,0.00273984,0.0392422
-9.212e-03,0.00273359,0.0394297
-9.210e-03,0.00275391,0.0395547
-9.208e-03,0.00278438,0.0396328
-9.206e-03,0.00276406,0.0394297
-9.204e-03,0.00278828,0.0393672
-9.202e-03,0.00275156,0.0395938
-9.200e-03,0.00276875,0.0398359
-9.198e-03,0.00277422,0.0401172
-9.196e-03,0.00277656,0.0401797
-9.194e-03,0.00281875,0.0402969
-9.192e-03,0.00280703,0.0401563
-9.190e-03,0.002825,0.0402813
-9.188e-03,0.00285156,0.0405703
-9.186e-03,0.00288047,0.0405078
-9.184e-03,0.00288437,0.0405
-9.182e-03,0.00286641,0.040625
-9.180e-03,0.00287578,0.0408906
-9.178e-03,0.00288437,0.0409297
-9.176e-03,0.00288828,0.0410156
-9.174e-03,0.00289219,0.0409063
-9.172e-03,0.00291719,0.0408906
-9.170e-03,0.00291406,0.0408906
-9.168e-03,0.00291719,0.0413125
-9.166e-03,0.00294297,0.0417422
-9.164e-03,0.00293125,0.0420938
-9.162e-03,0.0029375,0.0423984
-9.160e-03,0.00293047,0.042375
-9.158e-03,0.00292734,0.0425547
-9.156e-03,0.00293281,0.0425938
-9.154e-03,0.00294453,0.0427188
-9.152e-03,0.00295703,0.0426328
-9.150e-03,0.00296953,0.0426328
