Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.05,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.684e-03,0.0708125,2.14922
-9.682e-03,0.0707812,2.15781
-9.680e-03,0.0708281,2.16562
-9.678e-03,0.07075,2.18125
-9.676e-03,0.0709063,2.19219
-9.674e-03,0.0710156,2.2
-9.672e-03,0.0710703,2.21797
-9.670e-03,0.0712187,2.225
-9.668e-03,0.0712187,2.24297
-9.666e-03,0.0714219,2.24922
-9.664e-03,0.0713906,2.25469
-9.662e-03,0.0713906,2.27266
-9.660e-03,0.0714766,2.28281
-9.658e-03,0.0715781,2.29531
-9.656e-03,0.071625,2.30312
-9.654e-03,0.071625,2.31562
-9.652e-03,0.0717812,2.32187
-9.650e-03,0.0717656,2.33594
-9.648e-03,0.0718672,2.36016
-9.646e-03,0.0720625,2.35078
-9.644e-03,0.0720703,2.37656
-9.642e-03,0.0719687,2.38672
-9.640e-03,0.0720859,2.39531
-9.638e-03,0.0721328,2.40937
-9.636e-03,0.0723281,2.41719
-9.634e-03,0.0723359,2.43516
-9.632e-03,0.0723359,2.44531
-9.630e-03,0.0723359,2.44766
-9.628e-03,0.0724922,2.4625
-9.626e-03,0.0726797,2.47031
-9.624e-03,0.0726172,2.49609
-9.622e-03,0.0726328,2.49844
-9.620e-03,0.0726797,2.50703
-9.618e-03,0.0727578,2.52266
-9.616e-03,0.0728125,2.5375
-9.614e-03,0.0728359,2.54297
-9.612e-03,0.0729453,2.55312
-9.610e-03,0.073,2.56328
-9.608e-03,0.0730859,2.58359
-9.606e-03,0.0731016,2.58437
-9.604e-03,0.0730469,2.60234
-9.602e-03,0.0731641,2.60781
-9.600e-03,0.0732422,2.62422
-9.598e-03,0.0732422,2.63047
-9.596e-03,0.0732891,2.63906
-9.594e-03,0.0733047,2.65703
-9.592e-03,0.0735547,2.67188
-9.590e-03,0.0734922,2.67969
-9.588e-03,0.0735859,2.69141
-9.586e-03,0.0735703,2.7
-9.584e-03,0.0735547,2.71641
-9.582e-03,0.0737266,2.72266
-9.580e-03,0.0736875,2.72969
-9.578e-03,0.0737109,2.74219
-9.576e-03,0.0737891,2.76094
-9.574e-03,0.0739141,2.77031
-9.572e-03,0.0738984,2.78047
-9.570e-03,0.0739922,2.79375
-9.568e-03,0.0739609,2.80312
-9.566e-03,0.0739609,2.81094
-9.564e-03,0.0740625,2.81797
-9.562e-03,0.0740156,2.82969
-9.560e-03,0.0741016,2.84453
-9.558e-03,0.0742344,2.85625
-9.556e-03,0.0742344,2.86875
-9.554e-03,0.0743359,2.88516
-9.552e-03,0.0743437,2.88437
-9.550e-03,0.0743984,2.90469
-9.548e-03,0.0743828,2.90547
-9.546e-03,0.0745391,2.92344
-9.544e-03,0.0745078,2.9375
-9.542e-03,0.0745391,2.94531
-9.540e-03,0.0745469,2.95781
-9.538e-03,0.0746641,2.96016
-9.536e-03,0.0747266,2.97969
-9.534e-03,0.0748281,2.98203
-9.532e-03,0.0748437,2.99609
-9.530e-03,0.07475,3.00859
-9.528e-03,0.0749297,3.00859
-9.526e-03,0.074875,3.03516
-9.524e-03,0.0749063,3.04688
-9.522e-03,0.0749297,3.05078
-9.520e-03,0.0750156,3.06719
-9.518e-03,0.0750703,3.07109
-9.516e-03,0.0751484,3.08203
-9.514e-03,0.0751719,3.09531
-9.512e-03,0.0752109,3.10156
-9.510e-03,0.0752969,3.11172
-9.508e-03,0.0752734,3.12266
-9.506e-03,0.0752578,3.13594
-9.504e-03,0.0752578,3.13906
-9.502e-03,0.0752969,3.15703
-9.500e-03,0.0754531,3.15703
-9.498e-03,0.0753359,3.16719
-9.496e-03,0.0753516,3.17969
-9.494e-03,0.0754766,3.18359
-9.492e-03,0.0754844,3.19297
-9.490e-03,0.0754844,3.20937
-9.488e-03,0.0755234,3.22578
-9.486e-03,0.0755234,3.22969
-9.484e-03,0.0756563,3.23984
-9.482e-03,0.0756563,3.24766
-9.480e-03,0.075625,3.26406
-9.478e-03,0.0757578,3.27031
-9.476e-03,0.0757656,3.28125
-9.474e-03,0.0758437,3.28672
-9.472e-03,0.0758437,3.30312
-9.470e-03,0.0759063,3.31875
-9.468e-03,0.0759297,3.32109
-9.466e-03,0.0758672,3.33359
-9.464e-03,0.0758203,3.34531
-9.462e-03,0.0759609,3.35156
-9.460e-03,0.0760625,3.36016
-9.458e-03,0.0760312,3.36953
-9.456e-03,0.0760469,3.37187
