Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.2,,,Vertical Scale,2
Vertical Position,2,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.9680e-02,0.259188,3.71328,,-1.9680e-02,-3.46
-1.9676e-02,0.259906,3.72109,,-1.9676e-02,-3.46781
-1.9672e-02,0.260719,3.73203,,-1.9672e-02,-3.47875
-1.9668e-02,0.262031,3.73203,,-1.9668e-02,-3.48031
-1.9664e-02,0.262656,3.73984,,-1.9664e-02,-3.48563
-1.9660e-02,0.263625,3.75,,-1.9660e-02,-3.49
-1.9656e-02,0.264031,3.75391,,-1.9656e-02,-3.49313
-1.9652e-02,0.265344,3.76406,,-1.9652e-02,-3.50313
-1.9648e-02,0.266406,3.77266,,-1.9648e-02,-3.51688
-1.9644e-02,0.267281,3.78437,,-1.9644e-02,-3.51875
-1.9640e-02,0.268125,3.79219,,-1.9640e-02,-3.53094
-1.9636e-02,0.268937,3.79844,,-1.9636e-02,-3.53688
-1.9632e-02,0.269312,3.80859,,-1.9632e-02,-3.54625
-1.9628e-02,0.270875,3.81719,,-1.9628e-02,-3.55187
-1.9624e-02,0.271375,3.82656,,-1.9624e-02,-3.56188
-1.9620e-02,0.272344,3.83359,,-1.9620e-02,-3.56781
-1.9616e-02,0.272906,3.84297,,-1.9616e-02,-3.57063
-1.9612e-02,0.273625,3.85156,,-1.9612e-02,-3.5775
-1.9608e-02,0.274875,3.85938,,-1.9608e-02,-3.5825
-1.9604e-02,0.275531,3.86953,,-1.9604e-02,-3.59406
-1.9600e-02,0.276813,3.87969,,-1.9600e-02,-3.60438
-1.9596e-02,0.277687,3.88359,,-1.9596e-02,-3.61531
-1.9592e-02,0.277719,3.89062,,-1.9592e-02,-3.61969
-1.9588e-02,0.278844,3.9,,-1.9588e-02,-3.63125
-1.9584e-02,0.279875,3.90469,,-1.9584e-02,-3.63156
-1.9580e-02,0.27975,3.91484,,-1.9580e-02,-3.63469
-1.9576e-02,0.280687,3.91406,,-1.9576e-02,-3.63656
-1.9572e-02,0.2815,3.925,,-1.9572e-02,-3.64938
-1.9568e-02,0.281906,3.93437,,-1.9568e-02,-3.65687
-1.9564e-02,0.282813,3.94531,,-1.9564e-02,-3.6675
-1.9560e-02,0.284188,3.96172,,-1.9560e-02,-3.68469
-1.9556e-02,0.28575,3.97109,,-1.9556e-02,-3.68781
-1.9552e-02,0.286375,3.98125,,-1.9552e-02,-3.68906
-1.9548e-02,0.286969,3.98594,,-1.9548e-02,-3.70188
-1.9544e-02,0.288281,3.99141,,-1.9544e-02,-3.7075
-1.9540e-02,0.28925,3.99922,,-1.9540e-02,-3.71687
-1.9536e-02,0.289813,4.00625,,-1.9536e-02,-3.72313
-1.9532e-02,0.290156,4.01953,,-1.9532e-02,-3.72906
-1.9528e-02,0.290844,4.02969,,-1.9528e-02,-3.73125
-1.9524e-02,0.292188,4.03594,,-1.9524e-02,-3.74
-1.9520e-02,0.292594,4.04219,,-1.9520e-02,-3.75062
-1.9516e-02,0.293469,4.05625,,-1.9516e-02,-3.76
-1.9512e-02,0.294219,4.05625,,-1.9512e-02,-3.76906
-1.9508e-02,0.295656,4.06719,,-1.9508e-02,-3.775
-1.9504e-02,0.296219,4.07266,,-1.9504e-02,-3.78125
-1.9500e-02,0.296781,4.08047,,-1.9500e-02,-3.78469
-1.9496e-02,0.297594,4.09297,,-1.9496e-02,-3.79625
-1.9492e-02,0.297687,4.10547,,-1.9492e-02,-3.79281
-1.9488e-02,0.298281,4.09766,,-1.9488e-02,-3.8025
-1.9484e-02,0.299094,4.10938,,-1.9484e-02,-3.81406
-1.9480e-02,0.299969,4.11562,,-1.9480e-02,-3.81937
-1.9476e-02,0.300781,4.12734,,-1.9476e-02,-3.82625
-1.9472e-02,0.301438,4.13437,,-1.9472e-02,-3.82969
-1.9468e-02,0.303562,4.14375,,-1.9468e-02,-3.84094
-1.9464e-02,0.303937,4.15234,,-1.9464e-02,-3.85094
-1.9460e-02,0.304531,4.16797,,-1.9460e-02,-3.85406
-1.9456e-02,0.305187,4.17422,,-1.9456e-02,-3.86656
-1.9452e-02,0.306469,4.17812,,-1.9452e-02,-3.86906
-1.9448e-02,0.307125,4.18906,,-1.9448e-02,-3.87906
-1.9444e-02,0.308187,4.19062,,-1.9444e-02,-3.88531
-1.9440e-02,0.308406,4.19687,,-1.9440e-02,-3.89438
-1.9436e-02,0.308187,4.20937,,-1.9436e-02,-3.89531
-1.9432e-02,0.309469,4.21484,,-1.9432e-02,-3.90344
-1.9428e-02,0.309875,4.22109,,-1.9428e-02,-3.91688
-1.9424e-02,0.310844,4.23125,,-1.9424e-02,-3.93063
-1.9420e-02,0.311562,4.24375,,-1.9420e-02,-3.93156
-1.9416e-02,0.312063,4.24922,,-1.9416e-02,-3.93531
-1.9412e-02,0.312969,4.25312,,-1.9412e-02,-3.94719
-1.9408e-02,0.313781,4.26016,,-1.9408e-02,-3.95469
-1.9404e-02,0.3145,4.26406,,-1.9404e-02,-3.96437
-1.9400e-02,0.314844,4.28203,,-1.9400e-02,-3.96625
-1.9396e-02,0.315312,4.27969,,-1.9396e-02,-3.96844
-1.9392e-02,0.316125,4.27656,,-1.9392e-02,-3.97094
-1.9388e-02,0.316375,4.28984,,-1.9388e-02,-3.98375
-1.9384e-02,0.316844,4.28984,,-1.9384e-02,-3.99313
-1.9380e-02,0.317781,4.29844,,-1.9380e-02,-3.99438
-1.9376e-02,0.318719,4.3125,,-1.9376e-02,-4.00625
-1.9372e-02,0.319625,4.325,,-1.9372e-02,-4.01438
-1.9368e-02,0.320937,4.33281,,-1.9368e-02,-4.0175
-1.9364e-02,0.321656,4.3375,,-1.9364e-02,-4.0275
-1.9360e-02,0.322531,4.35078,,-1.9360e-02,-4.03281
-1.9356e-02,0.323594,4.35938,,-1.9356e-02,-4.04063
