Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,2,,,Vertical Scale,1
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.9688e-02,-1.44875,1.3225,,-1.9688e-02,-2.77125
-1.9684e-02,-1.44625,1.32188,,-1.9684e-02,-2.77219
-1.9680e-02,-1.44281,1.32594,,-1.9680e-02,-2.77312
-1.9676e-02,-1.44125,1.33156,,-1.9676e-02,-2.7775
-1.9672e-02,-1.43906,1.335,,-1.9672e-02,-2.77438
-1.9668e-02,-1.43469,1.33594,,-1.9668e-02,-2.76812
-1.9664e-02,-1.43156,1.33656,,-1.9664e-02,-2.77281
-1.9660e-02,-1.43094,1.33969,,-1.9660e-02,-2.76875
-1.9656e-02,-1.42938,1.34156,,-1.9656e-02,-2.77281
-1.9652e-02,-1.42656,1.34281,,-1.9652e-02,-2.77375
-1.9648e-02,-1.42406,1.34719,,-1.9648e-02,-2.7725
-1.9644e-02,-1.42281,1.34937,,-1.9644e-02,-2.77094
-1.9640e-02,-1.4225,1.35125,,-1.9640e-02,-2.77375
-1.9636e-02,-1.42031,1.355,,-1.9636e-02,-2.77344
-1.9632e-02,-1.41781,1.35375,,-1.9632e-02,-2.77312
-1.9628e-02,-1.41594,1.35531,,-1.9628e-02,-2.77125
-1.9624e-02,-1.41625,1.35625,,-1.9624e-02,-2.76812
-1.9620e-02,-1.41469,1.35938,,-1.9620e-02,-2.77219
-1.9616e-02,-1.41281,1.36187,,-1.9616e-02,-2.77406
-1.9612e-02,-1.41031,1.3625,,-1.9612e-02,-2.77531
