Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.005,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.716e-03,0.000482813,0.0126172
-9.714e-03,0.000507812,0.0127578
-9.712e-03,0.000525781,0.0129766
-9.710e-03,0.000542188,0.0131406
-9.708e-03,0.000574219,0.0132031
-9.706e-03,0.000613281,0.0132891
-9.704e-03,0.000613281,0.0133281
-9.702e-03,0.000621875,0.0136719
-9.700e-03,0.000628906,0.0138984
-9.698e-03,0.000617187,0.014125
-9.696e-03,0.000625,0.0142266
-9.694e-03,0.000649219,0.0141953
-9.692e-03,0.000653906,0.0142813
-9.690e-03,0.000651563,0.0142031
-9.688e-03,0.0006375,0.0140938
-9.686e-03,0.000604688,0.014
-9.684e-03,0.000592969,0.0139766
-9.682e-03,0.000615625,0.0140156
-9.680e-03,0.000657813,0.0140625
-9.678e-03,0.000670313,0.0142031
-9.676e-03,0.000696875,0.0144297
-9.674e-03,0.000736719,0.0147344
-9.672e-03,0.000696094,0.0151172
-9.670e-03,0.000696094,0.0154219
-9.668e-03,0.00065625,0.0155
-9.666e-03,0.000688281,0.0156484
-9.664e-03,0.000682031,0.0158828
-9.662e-03,0.000690625,0.0161094
-9.660e-03,0.000710937,0.0162969
-9.658e-03,0.00071875,0.0165625
-9.656e-03,0.000713281,0.0166797
-9.654e-03,0.000717188,0.0166641
-9.652e-03,0.000749219,0.0166641
-9.650e-03,0.000796094,0.0168047
-9.648e-03,0.000814844,0.0169219
-9.646e-03,0.000828125,0.0169609
-9.644e-03,0.00081875,0.0172266
-9.642e-03,0.000820312,0.0176484
-9.640e-03,0.000836719,0.0179844
-9.638e-03,0.000857031,0.0183281
-9.636e-03,0.000897656,0.0184609
-9.634e-03,0.000915625,0.0184297
-9.632e-03,0.000960937,0.0184453
