Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.004,
Horizontal Delay,0,
Sample Interval,4e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.9396e-02,-1.49344,1.54125
-1.9392e-02,-1.49594,1.54
-1.9388e-02,-1.495,1.54156
-1.9384e-02,-1.4975,1.53969
-1.9380e-02,-1.49344,1.53969
-1.9376e-02,-1.495,1.53875
-1.9372e-02,-1.49844,1.54125
-1.9368e-02,-1.49594,1.53906
-1.9364e-02,-1.49531,1.54125
-1.9360e-02,-1.49281,1.54062
-1.9356e-02,-1.4975,1.54062
-1.9352e-02,-1.4975,1.54062
-1.9348e-02,-1.49406,1.5375
-1.9344e-02,-1.49437,1.53875
-1.9340e-02,-1.49656,1.54062
-1.9336e-02,-1.49656,1.54
-1.9332e-02,-1.49531,1.53812
-1.9328e-02,-1.49594,1.53875
-1.9324e-02,-1.495,1.54
-1.9320e-02,-1.49531,1.53969
-1.9316e-02,-1.49656,1.54156
-1.9312e-02,-1.495,1.53812
-1.9308e-02,-1.49437,1.53875
-1.9304e-02,-1.49344,1.53875
-1.9300e-02,-1.49281,1.53969
-1.9296e-02,-1.4925,1.53719
-1.9292e-02,-1.49,1.54062
-1.9288e-02,-1.49094,1.5375
-1.9284e-02,-1.49281,1.53812
-1.9280e-02,-1.49125,1.53906
-1.9276e-02,-1.49281,1.53906
-1.9272e-02,-1.49281,1.53969
-1.9268e-02,-1.49125,1.5375
-1.9264e-02,-1.49281,1.53906
-1.9260e-02,-1.4925,1.53906
-1.9256e-02,-1.49094,1.53875
-1.9252e-02,-1.49031,1.54281
-1.9248e-02,-1.49031,1.54312
-1.9244e-02,-1.48937,1.54156
-1.9240e-02,-1.48937,1.54
-1.9236e-02,-1.48844,1.53906
-1.9232e-02,-1.48781,1.53875
-1.9228e-02,-1.49,1.53875
-1.9224e-02,-1.4925,1.53563
-1.9220e-02,-1.49187,1.53594
-1.9216e-02,-1.48937,1.53563
-1.9212e-02,-1.48781,1.53656
-1.9208e-02,-1.49,1.53563
-1.9204e-02,-1.48875,1.53469
-1.9200e-02,-1.49,1.53594
-1.9196e-02,-1.48687,1.5375
-1.9192e-02,-1.48875,1.5375
-1.9188e-02,-1.49094,1.5375
-1.9184e-02,-1.49125,1.53344
-1.9180e-02,-1.48937,1.53344
-1.9176e-02,-1.48719,1.53719
-1.9172e-02,-1.48781,1.535
-1.9168e-02,-1.49,1.53406
-1.9164e-02,-1.48687,1.53656
-1.9160e-02,-1.48469,1.53313
-1.9156e-02,-1.48687,1.53187
-1.9152e-02,-1.48687,1.53469
-1.9148e-02,-1.48594,1.53656
-1.9144e-02,-1.48219,1.53656
-1.9140e-02,-1.48312,1.53719
-1.9136e-02,-1.48188,1.53406
-1.9132e-02,-1.48469,1.53719
-1.9128e-02,-1.48375,1.5375
-1.9124e-02,-1.48281,1.53594
-1.9120e-02,-1.47875,1.53563
-1.9116e-02,-1.48031,1.535
-1.9112e-02,-1.48125,1.53563
-1.9108e-02,-1.48219,1.53594
-1.9104e-02,-1.47875,1.53406
-1.9100e-02,-1.48219,1.53313
-1.9096e-02,-1.48219,1.53156
-1.9092e-02,-1.48188,1.5325
-1.9088e-02,-1.48062,1.53187
-1.9084e-02,-1.47906,1.52844
-1.9080e-02,-1.48219,1.53156
-1.9076e-02,-1.48219,1.53094
-1.9072e-02,-1.48125,1.53187
-1.9068e-02,-1.48031,1.52937
-1.9064e-02,-1.48062,1.52937
-1.9060e-02,-1.48312,1.53
-1.9056e-02,-1.48219,1.52781
-1.9052e-02,-1.48188,1.52937
-1.9048e-02,-1.47906,1.53094
-1.9044e-02,-1.47906,1.52937
-1.9040e-02,-1.48125,1.53094
-1.9036e-02,-1.47875,1.52844
-1.9032e-02,-1.47812,1.5325
-1.9028e-02,-1.47656,1.53094
-1.9024e-02,-1.47875,1.53156
-1.9020e-02,-1.47781,1.53187
-1.9016e-02,-1.47812,1.5325
-1.9012e-02,-1.47719,1.52844
-1.9008e-02,-1.47656,1.53063
-1.9004e-02,-1.47781,1.52937
-1.9000e-02,-1.47969,1.53
-1.8996e-02,-1.47812,1.53063
-1.8992e-02,-1.47625,1.53063
-1.8988e-02,-1.47875,1.53
-1.8984e-02,-1.47812,1.53187
-1.8980e-02,-1.47906,1.53313
-1.8976e-02,-1.47906,1.53187
-1.8972e-02,-1.47812,1.52906
-1.8968e-02,-1.47781,1.52937
-1.8964e-02,-1.47875,1.53063
-1.8960e-02,-1.47656,1.52937
-1.8956e-02,-1.47781,1.52781
-1.8952e-02,-1.47562,1.53187
-1.8948e-02,-1.47562,1.52906
-1.8944e-02,-1.47562,1.53094
-1.8940e-02,-1.47625,1.52844
-1.8936e-02,-1.47469,1.53
-1.8932e-02,-1.47406,1.53063
-1.8928e-02,-1.47406,1.53406
-1.8924e-02,-1.47375,1.53313
-1.8920e-02,-1.47219,1.53156
-1.8916e-02,-1.47,1.52937
-1.8912e-02,-1.46906,1.53344
-1.8908e-02,-1.46906,1.53187
-1.8904e-02,-1.46562,1.53406
-1.8900e-02,-1.46094,1.53344
-1.8896e-02,-1.46031,1.53875
-1.8892e-02,-1.45844,1.54406
-1.8888e-02,-1.45469,1.54969
-1.8884e-02,-1.44719,1.55187
-1.8880e-02,-1.44375,1.55781
-1.8876e-02,-1.43906,1.56406
-1.8872e-02,-1.4325,1.57063
-1.8868e-02,-1.42344,1.57625
-1.8864e-02,-1.41406,1.58469
-1.8860e-02,-1.40969,1.59437
-1.8856e-02,-1.39938,1.60094
-1.8852e-02,-1.39187,1.60875
-1.8848e-02,-1.38219,1.61719
-1.8844e-02,-1.37344,1.62844
-1.8840e-02,-1.36344,1.63875
-1.8836e-02,-1.35719,1.64719
-1.8832e-02,-1.34656,1.65844
-1.8828e-02,-1.33281,1.66969
-1.8824e-02,-1.32437,1.68125
-1.8820e-02,-1.31469,1.69156
-1.8816e-02,-1.30313,1.70531
-1.8812e-02,-1.29094,1.71594
-1.8808e-02,-1.2775,1.72437
-1.8804e-02,-1.26656,1.73312
-1.8800e-02,-1.25687,1.74375
-1.8796e-02,-1.24562,1.755
-1.8792e-02,-1.235,1.76562
-1.8788e-02,-1.22313,1.77875
-1.8784e-02,-1.2125,1.79312
-1.8780e-02,-1.20187,1.80313
-1.8776e-02,-1.19125,1.81219
-1.8772e-02,-1.17719,1.82031
-1.8768e-02,-1.16625,1.83219
-1.8764e-02,-1.15687,1.84344
-1.8760e-02,-1.145,1.85438
-1.8756e-02,-1.12938,1.86563
-1.8752e-02,-1.12031,1.87844
-1.8748e-02,-1.10812,1.89
-1.8744e-02,-1.09844,1.90156
-1.8740e-02,-1.08781,1.91344
-1.8736e-02,-1.07406,1.92344
-1.8732e-02,-1.06219,1.93375
-1.8728e-02,-1.05125,1.94375
-1.8724e-02,-1.04094,1.95594
-1.8720e-02,-1.02625,1.96563
-1.8716e-02,-1.0125,1.97875
-1.8712e-02,-1.005,1.98656
-1.8708e-02,-0.99625,1.99406
-1.8704e-02,-0.985625,2.00625
-1.8700e-02,-0.975312,2.02
-1.8696e-02,-0.962813,2.03219
-1.8692e-02,-0.9525,2.04125
-1.8688e-02,-0.9425,2.05344
-1.8684e-02,-0.927812,2.06562
-1.8680e-02,-0.915625,2.07781
-1.8676e-02,-0.902813,2.08844
-1.8672e-02,-0.897187,2.09969
-1.8668e-02,-0.884688,2.1125
-1.8664e-02,-0.872812,2.12156
-1.8660e-02,-0.859687,2.12906
-1.8656e-02,-0.8525,2.14094
-1.8652e-02,-0.8425,2.15313
-1.8648e-02,-0.832187,2.16125
-1.8644e-02,-0.819688,2.1725
-1.8640e-02,-0.811562,2.18312
-1.8636e-02,-0.79875,2.19406
-1.8632e-02,-0.7875,2.20688
-1.8628e-02,-0.775,2.21594
-1.8624e-02,-0.765312,2.23031
-1.8620e-02,-0.7525,2.24156
-1.8616e-02,-0.743437,2.25156
-1.8612e-02,-0.732813,2.25875
-1.8608e-02,-0.719062,2.26844
-1.8604e-02,-0.707187,2.28062
-1.8600e-02,-0.697188,2.29312
-1.8596e-02,-0.686562,2.3025
-1.8592e-02,-0.673437,2.31406
-1.8588e-02,-0.659687,2.32281
-1.8584e-02,-0.648438,2.33688
-1.8580e-02,-0.64125,2.3425
-1.8576e-02,-0.633125,2.35
-1.8572e-02,-0.62,2.36187
-1.8568e-02,-0.60625,2.375
-1.8564e-02,-0.5975,2.38719
-1.8560e-02,-0.586875,2.39844
-1.8556e-02,-0.577812,2.41
-1.8552e-02,-0.566562,2.41969
-1.8548e-02,-0.555,2.42938
-1.8544e-02,-0.545313,2.44062
-1.8540e-02,-0.536563,2.45156
-1.8536e-02,-0.524375,2.46031
-1.8532e-02,-0.510312,2.47031
-1.8528e-02,-0.500625,2.48156
